registered_postcode,mean_age,total_vehicles
2388,11.74,1095
2390,11.58,4024
2395,16.22,336
2396,13.62,398
2397,11.63,155
2398,10.06,137
2399,13.33,248
2400,11.39,4185
2401,13.82,114
2402,13.49,841
2403,13.59,290
2404,13.24,902
2405,11.99,182
2406,12.56,331
2409,14.47,165
2410,11.73,100
2415,14.63,233
2420,13.21,2273
2421,12.69,1179
2422,13.7,3278
2423,14.68,2005
2424,17.2,309
2425,13.25,1153
2426,13.43,460
2427,11.93,2479
2428,12.31,16110
2429,14.19,5877
2430,12.55,23029
2431,12.11,3703
2439,12.6,2595
2440,14.31,12818
2441,14.66,2950
2443,12.79,5664
2444,10.98,32945
2445,10.92,5062
2446,13.18,9102
2447,13.41,4875
2448,13.19,5797
2449,15.11,1326
2450,12.0,29141
2452,12.38,8628
2453,14.61,1581
2454,14.17,4874
2455,13.53,1950
2456,12.6,10169
2460,14.03,17157
2462,14.86,1388
2463,12.91,4742
2464,11.57,4176
2465,13.48,201
2466,13.44,1001
2469,14.77,2203
2470,13.14,8180
2471,14.13,1340
2472,13.83,1054
2473,11.89,2000
2474,14.03,3397
2475,14.45,186
2476,12.68,328
2477,11.99,7641
2478,11.38,19904
2479,12.57,3704
2480,12.73,27968
2481,12.91,9343
2482,14.45,4992
2483,13.3,7318
2484,13.84,11274
2485,11.35,7646
2486,11.38,18139
2487,10.55,8141
2488,11.78,1693
2489,10.63,4028
2490,11.25,325
2500,10.77,26650
2502,13.34,6885
2505,12.4,3071
2506,13.21,4363
2508,11.25,5386
2515,11.0,6844
2516,10.6,3938
2517,11.24,7986
2518,11.96,11339
2519,11.43,10389
2525,11.07,7458
2526,11.13,11488
2527,11.14,17292
2528,12.81,13652
2529,11.05,18619
2530,11.59,21546
2533,10.74,10968
2534,10.8,3633
2535,11.05,5094
2536,12.63,12138
2537,12.65,8318
2538,12.54,1597
2539,12.45,12945
2540,12.65,29934
2541,12.22,17691
2545,13.86,732
2546,12.89,6219
2548,11.48,5313
2549,12.6,2432
2550,13.55,10292
2551,13.45,2094
2556,13.75,1521
2557,9.66,14391
2558,11.65,6326
2559,12.43,1160
2560,11.41,47363
2563,9.56,515
2564,12.3,7056
2565,10.4,19608
2566,11.32,16234
2567,10.19,25381
2568,11.0,899
2569,14.15,889
2570,10.34,41023
2571,11.49,8655
2572,11.25,3525
2573,11.8,3936
2574,12.93,3654
2575,11.65,11619
2576,10.81,9775
2577,11.72,11072
2578,11.44,1875
2579,12.82,3095
2580,12.37,18672
2581,12.2,1422
2582,12.08,7917
2583,13.17,2634
2584,13.42,349
2585,11.74,139
2586,12.77,1494
2587,13.46,1612
2588,12.09,202
2590,12.67,3894
2594,12.07,6876
2600,9.7,6240
2601,7.34,2569
2602,11.64,18966
2603,10.44,7148
2604,10.54,7551
2605,11.13,7288
2606,9.97,10021
2607,11.48,9597
2609,7.33,4026
2611,10.73,25015
2612,10.65,9188
2614,11.88,12331
2615,11.95,29407
2617,11.48,22067
2618,13.03,814
2619,10.01,5886
2620,11.45,28094
2621,11.46,4026
2622,13.45,2424
2623,13.83,290
2625,13.3,132
2626,13.22,297
2627,12.99,2912
2628,14.11,1249
2629,13.83,244
2630,13.01,5045
2631,15.09,327
2632,13.18,900
2633,15.64,160
2640,10.71,24110
2641,12.82,9359
2642,12.49,2847
2643,12.02,1572
2644,12.16,1349
2645,14.22,238
2646,12.5,3649
2647,12.5,1180
2648,14.34,987
2650,10.97,35366
2651,11.82,1215
2652,12.85,2593
2653,13.38,1222
2655,12.74,764
2656,12.67,685
2658,13.39,761
2659,13.95,535
2660,12.74,857
2663,12.86,2378
2665,13.71,1051
2666,11.95,2916
2668,14.49,246
2669,14.03,782
2671,11.73,1968
2672,12.94,708
2675,12.45,622
2680,12.27,14726
2681,12.42,972
2700,13.94,2668
2701,12.09,1434
2702,14.87,421
2703,14.52,407
2705,12.47,5684
