registered_postcode,mean_age,total_vehicles
4183,17.65,1864
4184,17.42,7751
4205,13.04,3699
4207,12.57,46381
4208,11.58,15448
4209,10.98,46726
4210,12.08,14907
4211,12.36,42166
4212,10.47,25253
4213,12.61,20681
4214,11.71,28183
4215,10.85,40383
4216,11.81,27657
4217,11.2,31669
4218,11.39,25155
4220,11.56,23122
4221,12.15,19564
4223,12.82,10807
4224,12.51,4931
4225,12.09,7805
4226,10.61,25620
4227,10.73,15757
4228,13.35,3739
4270,15.25,2923
4271,13.75,286
4272,13.1,5459
4275,13.64,2553
4280,13.82,14854
4285,14.17,14369
4287,16.21,450
4300,10.79,42552
4301,12.27,22075
4303,15.28,2248
4304,12.92,11354
4305,13.25,38868
4306,12.4,31850
4307,15.24,980
4309,14.86,1967
4310,14.96,3707
4311,15.34,6750
4312,15.72,1750
4313,15.55,1364
4314,16.7,1930
4340,14.27,3669
4341,14.31,10498
4342,15.69,1690
4343,14.81,7740
4344,14.94,1682
4346,14.08,644
4347,15.22,899
4350,12.38,71962
4352,13.3,20129
4353,12.85,169
4354,15.2,750
4355,15.46,1591
4356,14.18,2846
4357,15.6,1571
4358,14.12,1598
4359,14.26,746
4360,12.7,354
4361,16.29,1571
4362,16.48,1485
4363,15.71,380
4364,12.62,154
4365,20.26,312
4370,14.39,11632
4371,14.16,361
4373,15.75,636
4374,16.39,260
4375,20.1,169
4376,17.76,238
4377,14.84,379
4378,15.41,322
4380,15.12,4992
4381,16.2,359
4382,15.7,318
4383,16.76,415
4385,14.91,566
4387,15.23,651
4388,14.46,238
4390,12.8,3727
4400,14.74,1319
4401,14.97,3387
4402,18.08,200
4403,16.69,405
4404,13.44,223
4405,13.93,7895
4406,14.55,731
4407,17.85,264
4408,14.41,272
4410,15.91,724
4411,16.93,164
4412,16.92,110
4413,13.5,4196
4415,15.47,1109
4416,11.54,182
4417,12.16,280
4419,15.97,438
4420,13.18,503
4421,16.93,1285
4422,12.29,214
4424,14.64,107
4425,14.86,126
4427,14.03,142
4428,13.72,291
4454,13.06,300
4455,12.7,4228
4465,13.51,565
4468,13.92,160
4470,13.15,1529
4472,13.75,678
4477,12.82,206
4478,11.34,195
4480,11.8,351
4486,12.45,382
4487,13.02,1479
4488,15.23,109
4490,14.35,566
4496,13.19,153
4497,11.27,120
4500,11.73,29982
4501,12.97,3960
4502,12.78,5144
4503,11.67,31862
4504,11.82,13357
4505,13.18,17912
4506,13.67,16566
4507,12.6,13927
4508,13.92,11292
4509,9.43,24370
4510,13.46,34843
4511,13.31,6358
4512,15.37,2350
4514,14.26,4841
4515,14.12,2795
4516,15.26,2918
4517,15.31,569
4518,14.14,3794
4519,14.03,5809
4520,12.97,9689
4521,14.21,3417
4550,13.86,3230
4551,11.31,47118
4552,14.47,6519
4553,12.2,9176
4554,15.86,1362
4555,12.65,5655
4556,11.28,31570
4557,11.33,12406
4558,10.02,18622
4559,13.51,4868
4560,13.04,24337
4561,13.85,6298
4562,13.97,6527
4563,14.26,7146
4564,11.28,7655
4565,13.83,10175
4566,11.31,6879
4567,11.71,8927
4568,15.25,2708
4569,15.45,1190
4570,14.84,30761
4571,15.33,581
4572,10.92,2656
4573,11.48,20071
4574,15.04,983
4575,10.97,18689
4580,14.83,3521
4581,17.43,1146
4600,16.08,619
4601,16.26,598
4605,14.66,2299
4606,14.7,1453
4608,14.78,521
4610,14.43,8945
4612,16.75,159
4613,16.9,478
4614,16.43,797
4615,15.84,4552
4620,14.9,229
4621,16.32,1077
4625,15.41,1428
4626,14.29,992
4627,15.69,368
4630,15.35,1246
4650,14.97,21622
4655,12.96,43747
4659,14.13,3715
4660,15.15,5319
4662,16.69,488
4670,13.46,52572
4671,16.02,3797
4673,18.33,380
4674,17.42,1025
4677,15.39,2909
4678,14.94,451
4680,12.57,33031
4695,17.48,596
4697,19.0,120
4699,16.04,225
4700,11.92,10687
4701,12.67,24747
4702,13.42,16051
4703,12.35,15056
4705,10.68,160
4707,13.12,101
4709,11.97,402
4710,12.6,3221
4711,14.62,1053
4712,11.83,181
4713,15.46,197
4714,16.3,1707
4715,13.47,3821
4716,14.58,453
4717,12.36,2215
4718,14.0,1212
4719,13.97,563
4720,12.65,7938
4721,13.44,1738
4722,12.63,811
4723,12.74,653
4724,11.35,280
4725,13.77,721
4726,14.13,149
4727,14.25,106
4728,16.22,112
4730,13.14,1478
4735,12.05,496
4737,13.61,4653
4738,14.93,679
4739,14.42,195
4740,11.97,50750
4741,14.34,3909
4742,13.09,500
4743,13.13,179
4744,11.81,4180
4745,12.36,1159
4746,11.33,611
4750,12.16,3443
4751,13.09,2524
4753,12.0,2327
4754,12.86,1190
4756,13.75,347
4757,16.85,182
4798,13.95,349
4799,15.61,712
4800,13.64,5896
4802,13.2,6587
4803,11.08,239
4804,14.62,997
4805,13.36,6194
4806,13.55,1944
4807,12.63,5708
4808,13.56,624
4809,14.1,487
4810,11.3,13712
4811,11.67,7207
4812,12.18,10743
4813,13.04,392
4814,11.45,25855
4815,12.83,11180
4816,13.71,4642
4817,11.36,17407
4818,11.55,18439
4819,16.64,2091
4820,13.74,4777
4821,12.39,624
4822,12.91,307
4823,11.05,316
4824,12.7,1109
4825,12.98,8113
4829,13.0,184
4830,15.28,277
4849,14.78,830
4850,14.16,5847
4852,12.77,2425
4854,13.22,2747
4855,14.67,442
4856,13.67,397
4858,13.33,740
4859,14.45,261
4860,12.79,5702
4861,14.14,830
4865,13.05,4607
4868,12.07,12210
4869,12.25,11056
4870,11.91,43740
4871,14.67,5042
4872,15.81,2378
4873,14.18,3825
4874,14.22,2045
4875,15.56,1118
4876,16.2,601
4877,12.7,3364
4878,11.82,9209
4879,11.12,13864
4880,14.19,7423
4881,15.06,2902
4882,12.47,1785
4883,13.42,5070
4884,13.6,1297
4885,13.49,2334
4886,14.82,541
4887,16.93,1153
4888,16.45,1654
4890,15.19,453
4891,14.87,220
4892,16.24,616
4895,16.46,1863
5000,6.88,19984
5006,12.73,4157
5007,11.74,6191
5008,14.08,9602
5009,13.48,3917
5010,12.48,4377
5011,12.93,9492
5012,13.46,7351
5013,13.45,8000
5014,13.3,9208
5015,12.82,4628
5016,13.39,5964
5017,15.17,3100
5018,13.85,4027
5019,13.64,6001
5020,13.13,2268
5021,11.81,5106
5022,12.59,11166
5023,13.42,11780
5024,13.27,10052
5025,13.26,6264
5031,12.41,7615
5032,12.84,9467
5033,11.19,7540
5034,11.65,7410
5035,12.03,4546
5037,12.28,8068
5038,12.97,11155
5039,12.58,6484
5040,12.25,1556
5041,13.43,8913
5042,12.87,7906
5043,12.75,12562
5044,11.59,8030
5045,12.05,10794
5046,12.21,6101
5047,12.74,5878
5048,12.19,10359
5049,13.53,7123
5050,14.28,4053
5051,12.98,10746
5052,14.28,4662
5061,12.44,7298
5062,12.51,11031
5063,11.58,8455
5064,11.8,7199
5065,11.95,7823
5066,11.99,8917
5067,11.45,7794
5068,12.27,8710
5069,13.0,5910
5070,12.46,10421
5072,12.16,9612
5073,12.5,11301
5074,12.63,9513
5075,13.19,7944
5076,13.11,6896
5081,11.21,6870
5082,12.97,10503
5083,12.64,5484
5084,13.51,6794
5085,11.99,16473
5086,12.14,11614
5087,12.7,8423
5088,13.27,2664
5089,13.1,4827
5090,13.61,5390
5091,14.47,5343
5092,13.34,12533
5093,13.49,6254
5094,12.65,1322
5095,11.83,14218
5096,13.6,9676
5097,13.42,9153
5098,13.51,8666
5106,9.48,430
5107,13.06,12155
5108,14.13,26178
5109,14.12,13562
5110,13.64,5933
5111,13.54,252
5112,14.78,11064
5113,15.76,11005
5114,13.42,23203
5115,13.12,9044
5116,12.93,7415
5117,13.0,4754
5118,14.17,13740
5120,12.62,3273
5121,13.33,1889
5125,11.84,13754
5126,13.92,4884
5127,12.32,5260
5131,19.08,784
5132,15.25,296
5133,15.54,298
5134,14.86,294
5136,16.3,410
5137,18.08,427
5138,16.15,204
5139,17.63,229
5140,15.32,297
5141,16.19,622
5142,16.21,398
5144,18.71,340
5151,16.39,343
5152,13.68,4770
5153,15.54,4888
5154,14.42,2538
5155,14.18,2708
5156,14.58,724
5157,15.29,2381
5158,12.92,16892
5159,12.7,24104
5160,11.21,599
5161,13.47,7322
5162,13.99,23079
5163,14.9,9654
5164,16.88,2808
5165,13.57,3873
5166,15.65,1225
5167,13.81,4251
5168,14.35,3702
5169,12.52,13100
5170,15.76,805
5171,14.26,4418
5172,15.73,2899
5173,14.5,8576
5174,15.9,2171
5201,15.68,1612
5202,16.5,717
5203,15.97,878
5204,14.87,2518
5210,15.09,1299
5211,13.73,12449
5212,15.21,1537
5213,13.92,940
5214,14.28,7454
5220,17.2,161
5221,18.38,371
5222,17.86,840
5223,15.82,2386
5231,15.13,839
5232,18.88,292
5233,16.9,1039
5234,15.33,963
5235,16.92,1757
5236,15.07,198
5237,16.6,239
5238,17.55,3355
5240,16.93,377
5241,15.33,1751
5242,15.02,1125
5243,14.54,651
5244,14.37,3138
5245,14.55,2236
5250,12.55,2568
5251,12.51,14871
5252,13.94,4368
5253,16.18,13527
5254,16.77,1942
5255,15.5,7409
5256,18.29,1216
5259,16.38,819
5260,17.91,1254
5261,18.45,239
5262,18.94,256
5263,13.27,162
5264,16.37,833
5265,13.35,208
5266,13.51,341
5267,13.65,1114
5268,15.88,2338
5269,17.92,130
5270,15.45,337
5271,15.13,4581
5272,16.31,485
5275,14.79,1419
5276,13.85,888
5277,16.38,1854
5278,17.4,346
5279,16.18,325
5280,14.97,4768
5290,14.2,16600
5291,15.68,6011
5301,16.72,390
5302,13.62,493
5303,16.64,112
5304,16.61,607
5307,16.39,335
5311,19.49,235
5320,17.72,534
5321,19.32,291
5322,18.53,617
5330,16.91,2488
5331,17.07,191
5332,17.24,282
5333,15.48,3893
5340,16.73,919
5341,16.39,5162
5342,17.67,809
5343,14.91,3314
5344,18.38,640
5345,16.64,2442
5346,17.02,260
5350,17.89,433
5351,15.57,4404
5352,14.75,4029
5353,16.48,2832
5354,23.82,345
5355,14.42,6283
5356,19.19,608
5357,16.07,312
5360,15.2,855
5371,14.61,1256
5372,13.05,1758
5373,15.38,2484
5374,17.13,1050
5381,17.63,257
5400,16.42,637
5401,16.3,522
5410,18.58,271
5411,16.85,258
5412,15.69,787
5413,16.17,572
5414,19.31,124
5415,13.56,174
5416,16.72,170
5417,17.64,950
5419,15.68,160
5422,18.35,953
5431,15.39,481
5433,17.27,751
5434,16.31,225
5440,19.26,126
5451,14.31,517
5452,16.35,303
5453,14.75,3201
5454,14.73,242
5460,17.52,518
5461,16.0,1693
5462,14.7,332
5464,16.73,307
5472,16.44,135
5473,17.18,557
5480,16.66,631
5481,20.5,403
5482,15.94,350
5483,12.57,183
5485,16.2,327
5490,16.23,142
5491,16.57,1198
5495,16.76,490
5501,15.86,6735
5502,16.01,1098
5520,18.24,379
5521,16.78,118
5522,15.12,1059
5523,14.91,1228
5540,14.88,9521
5550,15.71,621
5552,16.82,240
5554,15.16,3821
5555,18.6,378
5556,15.35,3073
5558,15.03,3930
5560,15.82,299
5570,18.71,424
5571,16.23,1333
5572,21.26,169
5573,15.47,1452
5575,15.94,1596
5576,15.82,684
5577,16.86,380
5580,15.97,224
5581,13.92,373
5582,16.57,417
5583,19.45,699
5600,16.04,4164
5602,16.0,866
5603,16.08,282
5604,13.08,159
5605,15.24,1211
5606,15.24,8809
5607,16.08,2958
5608,15.49,7275
5609,13.75,1306
5611,18.24,136
5631,15.36,594
5632,14.01,153
5633,17.93,192
5640,15.69,641
5641,15.22,558
5642,17.36,165
5650,21.22,105
5652,16.2,384
5654,18.95,148
5670,18.18,337
5671,18.77,110
5680,17.6,1392
5690,16.37,2000
5700,14.58,6243
5710,14.93,1348
5722,20.47,293
5723,17.96,953
5724,17.03,126
5725,14.2,2142
5731,15.95,111
5950,2.05,3686
6000,8.87,14593
6003,12.09,3123
6004,8.71,10312
6005,9.04,6128
6006,12.14,5975
6007,10.34,5847
6008,10.5,11821
6009,11.46,12459
6010,11.13,12962
6011,11.62,7127
6012,12.25,6321
6014,11.21,15241
6015,11.52,5311
6016,11.68,6806
6017,7.31,10295
6018,11.39,28242
6019,11.84,16327
6020,11.78,15779
6021,11.66,15868
6022,13.51,3508
6023,12.09,10830
6024,12.81,9317
6025,12.19,21889
6026,11.97,15529
6027,12.23,29444
6028,10.82,16154
6029,11.84,2050
6030,12.06,25705
6031,11.59,12042
6032,15.63,187
6033,15.2,382
6034,10.76,3443
6035,12.25,7130
6036,11.15,10830
6037,14.05,2771
6038,10.22,7366
6041,15.98,1223
6043,16.75,247
6044,16.97,952
6050,12.13,10452
6051,11.19,10038
6052,12.02,7935
6053,12.15,11471
6054,12.55,15257
6055,11.43,25483
6056,13.79,29898
6057,13.8,11448
6058,13.37,9326
6059,11.92,17076
6060,11.68,17197
6061,12.9,26902
6062,12.68,24687
6063,13.24,10468
6064,14.06,20211
6065,11.33,49857
6066,13.38,12263
6069,11.72,30909
6070,13.96,2748
6071,15.47,2572
6072,14.9,643
6073,14.77,2349
6074,16.9,751
6076,14.72,16485
6077,16.58,1509
6078,18.07,670
6081,14.85,3493
6082,15.53,2258
6083,17.1,2841
6084,15.02,6906
6090,8.52,2546
6100,10.32,13194
6101,12.08,11460
6102,11.82,11007
6103,11.65,7422
6104,11.53,12221
6105,7.51,21992
6106,6.39,4828
6107,12.45,35636
6108,13.48,15874
6109,13.1,11127
6110,12.95,30071
6111,14.59,16472
6112,12.33,47917
6121,15.33,2465
6122,12.72,14801
6123,15.69,1593
6124,16.47,797
6125,15.87,2470
6126,17.73,187
6147,13.31,10469
6148,11.99,13148
6149,11.78,13116
6150,11.39,9104
6151,11.25,12532
6152,11.32,17271
6153,10.93,16264
6154,10.9,8164
6155,11.18,37432
6156,10.98,13247
6157,11.99,9508
6158,12.25,5295
6159,12.0,2814
6160,12.54,7296
6162,13.37,7821
6163,12.87,39317
6164,11.45,45711
6165,12.54,209
6166,12.93,7805
6167,13.53,18270
6168,13.4,16486
6169,13.59,22272
6170,11.77,11291
6171,11.18,25182
6172,12.71,8165
6173,11.12,7571
6174,12.3,3751
6175,12.75,2638
6176,13.81,1443
6180,12.0,4716
6181,15.46,419
6207,16.07,1131
6208,14.33,9096
6209,16.49,1526
6210,12.85,51383
6211,13.03,6303
6213,16.77,420
6214,16.28,500
6215,16.0,3140
6218,16.16,410
6219,19.62,194
6220,14.36,3225
6221,18.0,188
6223,17.06,139
6224,14.94,800
6225,15.51,5372
6226,16.69,742
6227,14.32,548
6228,22.16,114
6229,11.84,363
6230,12.96,30425
6232,12.96,7126
6233,13.1,13650
6236,15.38,1578
6237,14.74,1773
6239,16.27,3262
6244,17.53,966
6251,18.97,248
6253,16.97,506
6254,17.8,391
6255,16.17,2978
6256,14.61,177
6258,15.19,3746
6260,14.94,860
6262,17.06,458
6271,15.42,2440
6275,17.93,944
6280,13.63,21388
6281,13.23,6516
6282,15.08,1202
6284,14.43,2081
6285,15.25,7738
6286,16.12,906
6288,15.79,424
6290,16.1,1437
6302,16.63,2616
6304,17.0,1111
6306,16.15,607
6308,15.63,1041
6309,15.83,227
6311,14.5,328
6312,15.32,2699
6313,13.83,109
6315,17.01,1172
6316,14.7,268
6317,15.71,2355
6318,16.49,290
6320,16.48,411
6321,14.06,280
6322,19.36,163
6323,18.09,691
6324,16.09,2456
6326,17.15,321
6327,15.83,210
6328,15.24,271
6330,14.96,25377
6333,14.96,4159
6335,13.49,467
6336,13.05,165
6337,14.13,291
6338,17.82,505
6341,13.06,137
6343,16.89,154
6346,16.4,426
6348,16.23,535
6350,15.32,225
6352,16.19,142
6353,16.26,496
6355,15.34,351
6359,14.58,252
6365,14.82,335
6367,15.25,216
6369,14.1,399
6370,15.03,348
6375,13.3,585
6383,14.59,590
6390,15.0,1061
6391,15.34,529
6392,15.78,300
6394,18.81,164
6395,15.12,1088
6396,15.5,234
6398,15.11,361
6401,14.73,4772
6403,16.99,170
6405,17.22,202
6407,14.59,555
6409,15.96,298
6410,17.77,681
6415,15.15,1578
6418,15.6,464
6421,15.18,102
6423,15.91,117
6426,16.26,407
6429,16.6,445
6430,13.41,12252
6432,15.31,3688
6437,11.91,138
6438,13.54,257
6440,14.62,139
6442,15.43,1241
6443,17.41,385
6445,13.92,120
6447,12.52,120
6448,17.01,204
6450,15.85,7989
6460,13.78,442
6461,14.46,330
6468,14.21,151
6472,16.17,103
6475,16.94,265
6477,15.35,163
6479,16.21,343
6485,15.64,304
6488,16.97,112
6490,18.44,156
6501,14.62,661
6502,15.57,910
6503,15.84,1763
6505,11.89,112
6507,14.43,357
6510,15.12,1109
6511,17.21,371
6513,12.92,106
6514,17.48,463
6515,17.57,202
6516,15.05,1462
6517,13.12,269
6518,16.43,136
6519,16.32,319
6521,14.36,206
6522,14.58,270
6525,14.37,2193
6528,14.36,299
6530,13.61,19815
6532,13.35,4358
6535,14.74,842
6536,15.14,911
6537,18.64,475
6556,16.88,1557
6558,15.64,593
6560,15.48,1000
6562,15.19,888
6564,16.87,275
6566,16.59,2567
6567,18.19,210
6568,14.65,141
6569,13.89,197
6575,19.45,120
6603,15.12,634
6606,15.44,130
6609,14.61,522
6612,17.66,114
6620,14.45,154
6623,13.56,320
6630,15.58,284
6638,16.68,250
6642,15.98,282
6646,14.8,111
6701,15.5,2485
6707,16.55,1652
6710,14.55,404
6713,15.47,711
6714,12.64,8995
6716,12.14,272
6718,13.13,351
6720,13.73,1182
6721,12.6,2291
6722,13.03,5260
6725,14.65,5565
6726,14.16,2208
6728,14.68,1334
6740,16.54,268
6743,13.43,2485
6751,13.13,1319
6753,13.41,1997
6754,13.36,624
6760,28.86,159
6765,12.54,359
6770,15.38,421
6966,4.42,146
6979,5.04,3135
7000,8.26,17182
7004,12.91,4621
7005,12.71,8627
7007,12.77,2172
7008,12.56,8222
7009,13.53,8884
7010,14.16,11224
7011,14.25,9621
7012,17.12,595
7015,12.44,7129
7016,15.77,1489
7017,13.74,4232
7018,12.71,14894
7019,13.71,4826
7020,14.76,1769
7021,13.76,1626
7022,14.73,635
7023,13.88,293
7024,13.95,323
7025,14.6,1279
7026,16.44,691
7027,18.09,230
7030,15.43,11435
7050,12.77,9654
7052,12.91,4853
7053,13.59,2334
7054,14.21,5848
7055,13.08,364
7109,15.17,6152
7112,15.52,2334
7113,16.21,808
7116,15.65,1537
7117,16.63,546
7120,16.43,1187
7140,15.93,7042
7150,15.74,2199
7155,15.11,628
7162,14.6,451
7163,13.33,288
7170,9.05,6575
7171,13.35,2372
7172,14.11,2993
7173,15.58,4890
7174,16.59,124
7175,17.98,143
7176,16.82,117
7177,15.54,321
7178,16.41,264
7179,15.75,293
7180,17.28,150
7182,16.78,195
7184,17.09,588
7186,15.75,153
7187,17.2,105
7190,15.26,2284
7209,16.26,265
7210,14.23,668
7211,14.42,150
7212,8.64,2549
7213,15.39,160
7214,17.49,482
7215,16.17,2637
7216,16.18,2397
7248,14.62,9527
7249,13.1,8674
7250,12.82,33086
7252,14.44,2139
7253,15.6,3212
7254,18.81,345
7255,17.75,686
7256,17.65,887
7258,13.6,612
7259,17.86,276
7260,15.0,2009
7261,18.27,154
7262,14.98,1171
7263,16.56,369
7264,17.07,400
7265,16.56,146
7267,16.41,492
7268,15.15,640
7270,15.8,2940
7275,15.01,2232
7276,14.52,430
7277,13.0,4504
7290,12.75,1475
7291,14.41,469
7292,16.4,367
7300,13.25,2459
7301,14.21,3053
7302,15.14,1048
7303,16.17,2078
7304,15.51,3911
7305,17.35,742
7306,15.82,2640
7307,13.47,7604
7310,13.92,18439
7315,13.82,9962
7316,13.69,4094
7320,13.79,10419
7321,14.89,3111
7322,13.63,2530
7325,14.45,5628
7330,14.56,3703
7331,13.0,318
7467,16.71,948
7468,13.74,380
7469,17.22,445
7470,16.53,356
UNKN,10.93,3123
