POA_CODE21,lon,lat
0800,130.84514255633337,-12.46137032666661
0810,130.878184443631,-12.369063998688121
0812,130.91427810999568,-12.373605766631094
0820,130.8684555818144,-12.423672735516316
0822,132.89751020703815,-13.096845695248382
0828,130.93933872376618,-12.427051947078649
0829,131.00237677087753,-12.448686678124634
0830,131.04918556416203,-12.369957067907299
0832,130.9968971138982,-12.513516240194575
0834,131.02346383620082,-12.542638257872905
0835,131.06129035809687,-12.471254405273648
0836,131.13034350748,-12.561212538662172
0837,131.1808313591486,-12.811173591338857
0838,131.0056788725237,-12.719911789493104
0839,131.04265704333338,-12.523242918333287
0840,130.4431105474847,-12.731825016580228
0841,130.96988622953484,-12.819284093553838
0845,131.05686727099095,-13.092776241745476
0846,131.15560063286975,-13.167533660228205
0847,131.8262008908975,-13.823560562375288
0850,132.27024654862274,-14.441516064782878
0852,132.8035231972075,-16.8269266546957
0853,132.3780557749713,-14.531370222489471
0854,136.31094392607346,-16.07005958882611
0860,134.18727181997244,-19.655632888754294
0862,135.83565959095304,-18.07518820138867
0870,133.87741379254106,-23.691964698330302
0872,131.24619039747105,-23.67765944131027
0873,133.855799489739,-23.775290768177673
0874,133.88847007986274,-23.67097255679765
0875,133.83155843467202,-23.695844729691046
0880,136.76807327707948,-12.19864261915295
0885,136.4195416503334,-13.851023974999956
0886,132.8364125498561,-12.668549835987111
2000,151.20711602488606,-33.87415333651156
2007,151.19767797895952,-33.88008706035985
2008,151.1968095089823,-33.88827322281953
2009,151.19580566617458,-33.872895996573405
2010,151.2161609765883,-33.88301915504068
2011,151.222505287538,-33.87228511041854
2015,151.1915863366247,-33.90757847046903
2016,151.20716131219623,-33.89331731883967
2017,151.20751309885088,-33.90325399915687
2018,151.20753369709539,-33.92248469676378
2019,151.2086337153756,-33.95184549410265
2020,151.18221208589938,-33.936629588586875
2021,151.22896468674762,-33.89335695808744
2022,151.24978177045236,-33.89602392538505
2023,151.25567719820532,-33.88128884823615
2024,151.26327400593627,-33.903591382468
2025,151.2444082596152,-33.886387305316866
2026,151.27102977540594,-33.89001717356474
2027,151.23668287515474,-33.87731775588
2028,151.24524116888475,-33.87753714504381
2029,151.26596836175023,-33.87382749785914
2030,151.27730378933344,-33.87527988299996
2031,151.24662685666314,-33.91587880217772
2032,151.22928656932456,-33.92570504769888
2033,151.22246255115408,-33.913842903971805
2034,151.25726809466673,-33.92842786499997
2035,151.23488363217703,-33.940291729258156
2036,151.23951559886623,-33.967378698412375
2037,151.1855303908047,-33.87857267439499
2038,151.1712109718571,-33.88070837257375
2039,151.17130399556726,-33.864272010093266
2040,151.15832828247406,-33.87734678952907
2041,151.18173702010063,-33.857527667197076
2042,151.17700156337597,-33.89971429227402
2043,151.18283238233337,-33.903637628333286
2044,151.16970241282263,-33.92050654729763
2045,151.1407089927445,-33.878185483792
2046,151.13124162407345,-33.86437208790361
2047,151.15233545465068,-33.85278009143953
2048,151.16626234395918,-33.89292639413976
2049,151.15274656922242,-33.89424468045292
2050,151.1816107536182,-33.888100549998214
2060,151.20746736589086,-33.83761629772843
2061,151.2155865788257,-33.84804232117046
2062,151.21530822898683,-33.82313079743969
2063,151.2138536547157,-33.812982868007204
2064,151.18590923854876,-33.80932410888588
2065,151.1950031282622,-33.82369707023086
2066,151.16270772479146,-33.81579967116246
2067,151.17766143220314,-33.79654166533206
2068,151.2045313622297,-33.801150006854996
2069,151.19320559112538,-33.7823039066378
2070,151.1720369288905,-33.77723074326475
2071,151.167322445585,-33.7637624018282
2072,151.15726770900008,-33.755163310999954
2073,151.14008423720858,-33.75385413205789
2074,151.1353590162558,-33.71800111617807
2075,151.17205582676496,-33.72365435300208
2076,151.11644197391752,-33.71526720009798
2077,151.1024778325623,-33.679528087995756
2079,151.13042789628312,-33.6653435353503
2080,151.13478030756,-33.638396188172
2081,151.1666964485747,-33.57722886746122
2082,151.13369480821822,-33.60436244673523
2083,151.20694490574166,-33.58236194699685
2084,151.22819290216196,-33.646215576981376
2085,151.21058076774915,-33.7258654109737
2086,151.22301679504776,-33.749092479516825
2087,151.21477910195213,-33.76456223982842
2088,151.24252944239058,-33.83092257426294
