"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"1901","Passenger vehicles","Petrol",5
"1902","Passenger vehicles","Petrol",0
"1903","Passenger vehicles","Petrol",9
"1904","Passenger vehicles","Petrol",15
"1905","Passenger vehicles","Petrol",10
"1906","Passenger vehicles","Petrol",18
"1907","Passenger vehicles","Petrol",15
"1908","Passenger vehicles","Petrol",22
"1909","Passenger vehicles","Petrol",28
"1910","Passenger vehicles","Petrol",47
"1911","Passenger vehicles","Petrol",49
"1912","Passenger vehicles","Petrol",59
"1913","Passenger vehicles","Petrol",64
"1914","Passenger vehicles","Petrol",53
"1915","Passenger vehicles","Petrol",75
"1916","Passenger vehicles","Petrol",37
"1917","Passenger vehicles","Petrol",38
"1918","Passenger vehicles","Petrol",31
"1919","Passenger vehicles","Petrol",15
"1920","Passenger vehicles","Petrol",21
"1921","Passenger vehicles","Petrol",20
"1922","Passenger vehicles","Petrol",58
"1923","Passenger vehicles","Petrol",407
"1924","Passenger vehicles","Petrol",205
"1925","Passenger vehicles","Petrol",285
"1926","Passenger vehicles","Petrol",398
"1927","Passenger vehicles","Petrol",563
"1928","Passenger vehicles","Petrol",1281
"1929","Passenger vehicles","Petrol",946
"1930","Passenger vehicles","Petrol",586
"1931","Passenger vehicles","Petrol",227
"1932","Passenger vehicles","Petrol",1064
"1933","Passenger vehicles","Petrol",310
"1934","Passenger vehicles","Petrol",1122
"1935","Passenger vehicles","Petrol",446
"1936","Passenger vehicles","Petrol",509
"1937","Passenger vehicles","Petrol",536
"1938","Passenger vehicles","Petrol",483
"1939","Passenger vehicles","Petrol",465
"1940","Passenger vehicles","Petrol",260
"1941","Passenger vehicles","Petrol",108
"1942","Passenger vehicles","Petrol",225
"1943","Passenger vehicles","Petrol",116
"1944","Passenger vehicles","Petrol",136
"1945","Passenger vehicles","Petrol",39
"1946","Passenger vehicles","Petrol",337
"1947","Passenger vehicles","Petrol",433
"1948","Passenger vehicles","Petrol",864
"1949","Passenger vehicles","Petrol",805
"1950","Passenger vehicles","Petrol",841
"1951","Passenger vehicles","Petrol",920
"1952","Passenger vehicles","Petrol",706
"1953","Passenger vehicles","Petrol",992
"1954","Passenger vehicles","Petrol",1608
"1955","Passenger vehicles","Petrol",2176
"1956","Passenger vehicles","Petrol",1840
"1957","Passenger vehicles","Petrol",2703
"1958","Passenger vehicles","Petrol",1922
"1959","Passenger vehicles","Petrol",2237
"1960","Passenger vehicles","Petrol",2442
"1961","Passenger vehicles","Petrol",1983
"1962","Passenger vehicles","Petrol",3587
"1963","Passenger vehicles","Petrol",4308
"1964","Passenger vehicles","Petrol",6985
"1965","Passenger vehicles","Petrol",6692
"1966","Passenger vehicles","Petrol",8069
"1967","Passenger vehicles","Petrol",8074
"1968","Passenger vehicles","Petrol",8559
"1969","Passenger vehicles","Petrol",9400
"1970","Passenger vehicles","Petrol",11445
"1971","Passenger vehicles","Petrol",12213
"1972","Passenger vehicles","Petrol",7950
"1973","Passenger vehicles","Petrol",8086
"1974","Passenger vehicles","Petrol",8875
"1975","Passenger vehicles","Petrol",7027
"1976","Passenger vehicles","Petrol",7824
"1977","Passenger vehicles","Petrol",7479
"1978","Passenger vehicles","Petrol",7115
"1979","Passenger vehicles","Petrol",5578
"1980","Passenger vehicles","Petrol",4038
"1981","Passenger vehicles","Petrol",4246
"1982","Passenger vehicles","Petrol",4871
"1983","Passenger vehicles","Petrol",4647
"1984","Passenger vehicles","Petrol",6513
"1985","Passenger vehicles","Petrol",7945
"1986","Passenger vehicles","Petrol",6710
"1987","Passenger vehicles","Petrol",6486
"1988","Passenger vehicles","Petrol",8859
"1989","Passenger vehicles","Petrol",12669
"1990","Passenger vehicles","Petrol",15808
"1991","Passenger vehicles","Petrol",14184
"1992","Passenger vehicles","Petrol",16916
"1993","Passenger vehicles","Petrol",21757
"1994","Passenger vehicles","Petrol",27052
"1995","Passenger vehicles","Petrol",32321
"1996","Passenger vehicles","Petrol",39094
"1997","Passenger vehicles","Petrol",56493
"1998","Passenger vehicles","Petrol",80734
"1999","Passenger vehicles","Petrol",97013
"2000","Passenger vehicles","Petrol",128429
"2001","Passenger vehicles","Petrol",149744
"2002","Passenger vehicles","Petrol",189640
"2003","Passenger vehicles","Petrol",261809
"2004","Passenger vehicles","Petrol",302944
"2005","Passenger vehicles","Petrol",361223
"2006","Passenger vehicles","Petrol",395219
"2007","Passenger vehicles","Petrol",465698
"2008","Passenger vehicles","Petrol",467229
"2009","Passenger vehicles","Petrol",448573
"2010","Passenger vehicles","Petrol",539203
"2011","Passenger vehicles","Petrol",521419
"2012","Passenger vehicles","Petrol",595006
"2013","Passenger vehicles","Petrol",645296
"2014","Passenger vehicles","Petrol",624081
"2015","Passenger vehicles","Petrol",689264
"2016","Passenger vehicles","Petrol",699874
"2017","Passenger vehicles","Petrol",718107
"2018","Passenger vehicles","Petrol",676010
"2019","Passenger vehicles","Petrol",612219
"2020","Passenger vehicles","Petrol",485447
"2021","Passenger vehicles","Petrol",588563
"2022","Passenger vehicles","Petrol",575812
"2023","Passenger vehicles","Petrol",553566
"2024","Passenger vehicles","Petrol",352228
"2025","Passenger vehicles","Petrol",40
"Not stated","Passenger vehicles","Petrol",591
"1901","Passenger vehicles","Diesel",0
"1902","Passenger vehicles","Diesel",0
"1903","Passenger vehicles","Diesel",0
"1904","Passenger vehicles","Diesel",0
"1905","Passenger vehicles","Diesel",0
"1906","Passenger vehicles","Diesel",0
"1907","Passenger vehicles","Diesel",0
"1908","Passenger vehicles","Diesel",0
"1909","Passenger vehicles","Diesel",0
"1910","Passenger vehicles","Diesel",0
"1911","Passenger vehicles","Diesel",0
"1912","Passenger vehicles","Diesel",0
"1913","Passenger vehicles","Diesel",0
"1914","Passenger vehicles","Diesel",0
"1915","Passenger vehicles","Diesel",0
"1916","Passenger vehicles","Diesel",3
"1917","Passenger vehicles","Diesel",0
"1918","Passenger vehicles","Diesel",0
"1919","Passenger vehicles","Diesel",0
"1920","Passenger vehicles","Diesel",0
"1921","Passenger vehicles","Diesel",0
"1922","Passenger vehicles","Diesel",0
"1923","Passenger vehicles","Diesel",0
"1924","Passenger vehicles","Diesel",0
"1925","Passenger vehicles","Diesel",0
"1926","Passenger vehicles","Diesel",0
"1927","Passenger vehicles","Diesel",0
"1928","Passenger vehicles","Diesel",0
"1929","Passenger vehicles","Diesel",0
"1930","Passenger vehicles","Diesel",0
"1931","Passenger vehicles","Diesel",0
"1932","Passenger vehicles","Diesel",0
"1933","Passenger vehicles","Diesel",3
"1934","Passenger vehicles","Diesel",0
"1935","Passenger vehicles","Diesel",0
"1936","Passenger vehicles","Diesel",0
"1937","Passenger vehicles","Diesel",0
"1938","Passenger vehicles","Diesel",0
"1939","Passenger vehicles","Diesel",0
"1940","Passenger vehicles","Diesel",3
"1941","Passenger vehicles","Diesel",0
"1942","Passenger vehicles","Diesel",0
"1943","Passenger vehicles","Diesel",0
"1944","Passenger vehicles","Diesel",0
"1945","Passenger vehicles","Diesel",0
"1946","Passenger vehicles","Diesel",3
"1947","Passenger vehicles","Diesel",3
"1948","Passenger vehicles","Diesel",0
"1949","Passenger vehicles","Diesel",0
"1950","Passenger vehicles","Diesel",0
"1951","Passenger vehicles","Diesel",3
"1952","Passenger vehicles","Diesel",0
"1953","Passenger vehicles","Diesel",4
"1954","Passenger vehicles","Diesel",6
"1955","Passenger vehicles","Diesel",3
"1956","Passenger vehicles","Diesel",0
"1957","Passenger vehicles","Diesel",0
"1958","Passenger vehicles","Diesel",5
"1959","Passenger vehicles","Diesel",3
"1960","Passenger vehicles","Diesel",7
"1961","Passenger vehicles","Diesel",5
"1962","Passenger vehicles","Diesel",4
"1963","Passenger vehicles","Diesel",7
"1964","Passenger vehicles","Diesel",6
"1965","Passenger vehicles","Diesel",4
"1966","Passenger vehicles","Diesel",3
"1967","Passenger vehicles","Diesel",8
"1968","Passenger vehicles","Diesel",9
"1969","Passenger vehicles","Diesel",0
"1970","Passenger vehicles","Diesel",6
"1971","Passenger vehicles","Diesel",12
"1972","Passenger vehicles","Diesel",15
"1973","Passenger vehicles","Diesel",9
"1974","Passenger vehicles","Diesel",24
"1975","Passenger vehicles","Diesel",21
"1976","Passenger vehicles","Diesel",47
"1977","Passenger vehicles","Diesel",58
"1978","Passenger vehicles","Diesel",89
"1979","Passenger vehicles","Diesel",126
"1980","Passenger vehicles","Diesel",197
"1981","Passenger vehicles","Diesel",350
"1982","Passenger vehicles","Diesel",436
"1983","Passenger vehicles","Diesel",610
"1984","Passenger vehicles","Diesel",1250
"1985","Passenger vehicles","Diesel",1723
"1986","Passenger vehicles","Diesel",1392
"1987","Passenger vehicles","Diesel",729
"1988","Passenger vehicles","Diesel",2269
"1989","Passenger vehicles","Diesel",3411
"1990","Passenger vehicles","Diesel",4310
"1991","Passenger vehicles","Diesel",5527
"1992","Passenger vehicles","Diesel",6476
"1993","Passenger vehicles","Diesel",5238
"1994","Passenger vehicles","Diesel",5838
"1995","Passenger vehicles","Diesel",6067
"1996","Passenger vehicles","Diesel",6089
"1997","Passenger vehicles","Diesel",7008
"1998","Passenger vehicles","Diesel",7985
"1999","Passenger vehicles","Diesel",8858
"2000","Passenger vehicles","Diesel",11127
"2001","Passenger vehicles","Diesel",12701
"2002","Passenger vehicles","Diesel",16103
"2003","Passenger vehicles","Diesel",20154
"2004","Passenger vehicles","Diesel",24809
"2005","Passenger vehicles","Diesel",26976
"2006","Passenger vehicles","Diesel",36211
"2007","Passenger vehicles","Diesel",45340
"2008","Passenger vehicles","Diesel",65116
"2009","Passenger vehicles","Diesel",66836
"2010","Passenger vehicles","Diesel",100145
"2011","Passenger vehicles","Diesel",109024
"2012","Passenger vehicles","Diesel",141026
"2013","Passenger vehicles","Diesel",148452
"2014","Passenger vehicles","Diesel",141376
"2015","Passenger vehicles","Diesel",154423
"2016","Passenger vehicles","Diesel",162865
"2017","Passenger vehicles","Diesel",151723
"2018","Passenger vehicles","Diesel",142014
"2019","Passenger vehicles","Diesel",113264
"2020","Passenger vehicles","Diesel",94221
"2021","Passenger vehicles","Diesel",120600
"2022","Passenger vehicles","Diesel",140241
"2023","Passenger vehicles","Diesel",141644
"2024","Passenger vehicles","Diesel",87299
"2025","Passenger vehicles","Diesel",30
"Not stated","Passenger vehicles","Diesel",15
"1901","Passenger vehicles","Dual fuel",0
"1902","Passenger vehicles","Dual fuel",0
"1903","Passenger vehicles","Dual fuel",0
"1904","Passenger vehicles","Dual fuel",0
"1905","Passenger vehicles","Dual fuel",0
"1906","Passenger vehicles","Dual fuel",0
"1907","Passenger vehicles","Dual fuel",0
"1908","Passenger vehicles","Dual fuel",0
"1909","Passenger vehicles","Dual fuel",0
"1910","Passenger vehicles","Dual fuel",0
"1911","Passenger vehicles","Dual fuel",0
"1912","Passenger vehicles","Dual fuel",0
"1913","Passenger vehicles","Dual fuel",0
"1914","Passenger vehicles","Dual fuel",0
"1915","Passenger vehicles","Dual fuel",0
"1916","Passenger vehicles","Dual fuel",0
"1917","Passenger vehicles","Dual fuel",0
"1918","Passenger vehicles","Dual fuel",0
"1919","Passenger vehicles","Dual fuel",0
"1920","Passenger vehicles","Dual fuel",0
"1921","Passenger vehicles","Dual fuel",0
"1922","Passenger vehicles","Dual fuel",0
"1923","Passenger vehicles","Dual fuel",0
"1924","Passenger vehicles","Dual fuel",0
"1925","Passenger vehicles","Dual fuel",0
"1926","Passenger vehicles","Dual fuel",0
"1927","Passenger vehicles","Dual fuel",0
"1928","Passenger vehicles","Dual fuel",5
"1929","Passenger vehicles","Dual fuel",4
"1930","Passenger vehicles","Dual fuel",0
"1931","Passenger vehicles","Dual fuel",0
"1932","Passenger vehicles","Dual fuel",3
"1933","Passenger vehicles","Dual fuel",3
"1934","Passenger vehicles","Dual fuel",4
"1935","Passenger vehicles","Dual fuel",3
"1936","Passenger vehicles","Dual fuel",0
"1937","Passenger vehicles","Dual fuel",3
"1938","Passenger vehicles","Dual fuel",3
"1939","Passenger vehicles","Dual fuel",0
"1940","Passenger vehicles","Dual fuel",0
"1941","Passenger vehicles","Dual fuel",3
"1942","Passenger vehicles","Dual fuel",3
"1943","Passenger vehicles","Dual fuel",0
"1944","Passenger vehicles","Dual fuel",0
"1945","Passenger vehicles","Dual fuel",0
"1946","Passenger vehicles","Dual fuel",5
"1947","Passenger vehicles","Dual fuel",7
"1948","Passenger vehicles","Dual fuel",3
"1949","Passenger vehicles","Dual fuel",0
"1950","Passenger vehicles","Dual fuel",0
"1951","Passenger vehicles","Dual fuel",4
"1952","Passenger vehicles","Dual fuel",4
"1953","Passenger vehicles","Dual fuel",0
"1954","Passenger vehicles","Dual fuel",8
"1955","Passenger vehicles","Dual fuel",11
"1956","Passenger vehicles","Dual fuel",14
"1957","Passenger vehicles","Dual fuel",21
"1958","Passenger vehicles","Dual fuel",5
"1959","Passenger vehicles","Dual fuel",16
"1960","Passenger vehicles","Dual fuel",14
"1961","Passenger vehicles","Dual fuel",9
"1962","Passenger vehicles","Dual fuel",27
"1963","Passenger vehicles","Dual fuel",36
"1964","Passenger vehicles","Dual fuel",51
"1965","Passenger vehicles","Dual fuel",71
"1966","Passenger vehicles","Dual fuel",63
"1967","Passenger vehicles","Dual fuel",82
"1968","Passenger vehicles","Dual fuel",74
"1969","Passenger vehicles","Dual fuel",76
"1970","Passenger vehicles","Dual fuel",154
"1971","Passenger vehicles","Dual fuel",159
"1972","Passenger vehicles","Dual fuel",85
"1973","Passenger vehicles","Dual fuel",96
"1974","Passenger vehicles","Dual fuel",130
"1975","Passenger vehicles","Dual fuel",134
"1976","Passenger vehicles","Dual fuel",123
"1977","Passenger vehicles","Dual fuel",215
"1978","Passenger vehicles","Dual fuel",236
"1979","Passenger vehicles","Dual fuel",163
"1980","Passenger vehicles","Dual fuel",93
"1981","Passenger vehicles","Dual fuel",143
"1982","Passenger vehicles","Dual fuel",162
"1983","Passenger vehicles","Dual fuel",153
"1984","Passenger vehicles","Dual fuel",273
"1985","Passenger vehicles","Dual fuel",248
"1986","Passenger vehicles","Dual fuel",153
"1987","Passenger vehicles","Dual fuel",132
"1988","Passenger vehicles","Dual fuel",293
"1989","Passenger vehicles","Dual fuel",470
"1990","Passenger vehicles","Dual fuel",603
"1991","Passenger vehicles","Dual fuel",532
"1992","Passenger vehicles","Dual fuel",780
"1993","Passenger vehicles","Dual fuel",1289
"1994","Passenger vehicles","Dual fuel",1492
"1995","Passenger vehicles","Dual fuel",1377
"1996","Passenger vehicles","Dual fuel",1432
"1997","Passenger vehicles","Dual fuel",1972
"1998","Passenger vehicles","Dual fuel",3400
"1999","Passenger vehicles","Dual fuel",3788
"2000","Passenger vehicles","Dual fuel",3474
"2001","Passenger vehicles","Dual fuel",3130
"2002","Passenger vehicles","Dual fuel",3872
"2003","Passenger vehicles","Dual fuel",5114
"2004","Passenger vehicles","Dual fuel",4690
"2005","Passenger vehicles","Dual fuel",3860
"2006","Passenger vehicles","Dual fuel",2808
"2007","Passenger vehicles","Dual fuel",2774
"2008","Passenger vehicles","Dual fuel",2558
"2009","Passenger vehicles","Dual fuel",2226
"2010","Passenger vehicles","Dual fuel",1618
"2011","Passenger vehicles","Dual fuel",1089
"2012","Passenger vehicles","Dual fuel",575
"2013","Passenger vehicles","Dual fuel",508
"2014","Passenger vehicles","Dual fuel",489
"2015","Passenger vehicles","Dual fuel",617
"2016","Passenger vehicles","Dual fuel",487
"2017","Passenger vehicles","Dual fuel",334
"2018","Passenger vehicles","Dual fuel",204
"2019","Passenger vehicles","Dual fuel",232
"2020","Passenger vehicles","Dual fuel",119
"2021","Passenger vehicles","Dual fuel",165
"2022","Passenger vehicles","Dual fuel",220
"2023","Passenger vehicles","Dual fuel",410
"2024","Passenger vehicles","Dual fuel",853
"2025","Passenger vehicles","Dual fuel",0
"Not stated","Passenger vehicles","Dual fuel",0
"1901","Passenger vehicles","Hybrid electric",0
"1902","Passenger vehicles","Hybrid electric",0
"1903","Passenger vehicles","Hybrid electric",0
"1904","Passenger vehicles","Hybrid electric",0
"1905","Passenger vehicles","Hybrid electric",0
"1906","Passenger vehicles","Hybrid electric",0
"1907","Passenger vehicles","Hybrid electric",0
"1908","Passenger vehicles","Hybrid electric",0
"1909","Passenger vehicles","Hybrid electric",0
"1910","Passenger vehicles","Hybrid electric",0
"1911","Passenger vehicles","Hybrid electric",0
"1912","Passenger vehicles","Hybrid electric",0
"1913","Passenger vehicles","Hybrid electric",0
"1914","Passenger vehicles","Hybrid electric",0
"1915","Passenger vehicles","Hybrid electric",0
"1916","Passenger vehicles","Hybrid electric",0
"1917","Passenger vehicles","Hybrid electric",0
"1918","Passenger vehicles","Hybrid electric",0
"1919","Passenger vehicles","Hybrid electric",0
"1920","Passenger vehicles","Hybrid electric",0
"1921","Passenger vehicles","Hybrid electric",0
"1922","Passenger vehicles","Hybrid electric",0
"1923","Passenger vehicles","Hybrid electric",0
"1924","Passenger vehicles","Hybrid electric",0
"1925","Passenger vehicles","Hybrid electric",0
"1926","Passenger vehicles","Hybrid electric",0
"1927","Passenger vehicles","Hybrid electric",0
"1928","Passenger vehicles","Hybrid electric",0
"1929","Passenger vehicles","Hybrid electric",0
"1930","Passenger vehicles","Hybrid electric",0
"1931","Passenger vehicles","Hybrid electric",0
"1932","Passenger vehicles","Hybrid electric",0
"1933","Passenger vehicles","Hybrid electric",0
"1934","Passenger vehicles","Hybrid electric",0
"1935","Passenger vehicles","Hybrid electric",0
"1936","Passenger vehicles","Hybrid electric",0
"1937","Passenger vehicles","Hybrid electric",0
"1938","Passenger vehicles","Hybrid electric",0
"1939","Passenger vehicles","Hybrid electric",0
"1940","Passenger vehicles","Hybrid electric",0
"1941","Passenger vehicles","Hybrid electric",0
"1942","Passenger vehicles","Hybrid electric",0
"1943","Passenger vehicles","Hybrid electric",0
"1944","Passenger vehicles","Hybrid electric",0
"1945","Passenger vehicles","Hybrid electric",0
"1946","Passenger vehicles","Hybrid electric",0
"1947","Passenger vehicles","Hybrid electric",0
"1948","Passenger vehicles","Hybrid electric",0
"1949","Passenger vehicles","Hybrid electric",0
"1950","Passenger vehicles","Hybrid electric",0
"1951","Passenger vehicles","Hybrid electric",0
"1952","Passenger vehicles","Hybrid electric",0
"1953","Passenger vehicles","Hybrid electric",0
"1954","Passenger vehicles","Hybrid electric",0
"1955","Passenger vehicles","Hybrid electric",0
"1956","Passenger vehicles","Hybrid electric",0
"1957","Passenger vehicles","Hybrid electric",0
"1958","Passenger vehicles","Hybrid electric",0
"1959","Passenger vehicles","Hybrid electric",0
"1960","Passenger vehicles","Hybrid electric",0
"1961","Passenger vehicles","Hybrid electric",0
"1962","Passenger vehicles","Hybrid electric",0
"1963","Passenger vehicles","Hybrid electric",0
"1964","Passenger vehicles","Hybrid electric",0
"1965","Passenger vehicles","Hybrid electric",0
"1966","Passenger vehicles","Hybrid electric",0
"1967","Passenger vehicles","Hybrid electric",0
"1968","Passenger vehicles","Hybrid electric",0
"1969","Passenger vehicles","Hybrid electric",0
"1970","Passenger vehicles","Hybrid electric",0
"1971","Passenger vehicles","Hybrid electric",3
"1972","Passenger vehicles","Hybrid electric",0
"1973","Passenger vehicles","Hybrid electric",0
"1974","Passenger vehicles","Hybrid electric",0
"1975","Passenger vehicles","Hybrid electric",0
"1976","Passenger vehicles","Hybrid electric",0
"1977","Passenger vehicles","Hybrid electric",0
"1978","Passenger vehicles","Hybrid electric",0
"1979","Passenger vehicles","Hybrid electric",0
"1980","Passenger vehicles","Hybrid electric",0
"1981","Passenger vehicles","Hybrid electric",0
"1982","Passenger vehicles","Hybrid electric",0
"1983","Passenger vehicles","Hybrid electric",0
"1984","Passenger vehicles","Hybrid electric",0
"1985","Passenger vehicles","Hybrid electric",0
"1986","Passenger vehicles","Hybrid electric",0
"1987","Passenger vehicles","Hybrid electric",0
"1988","Passenger vehicles","Hybrid electric",0
"1989","Passenger vehicles","Hybrid electric",0
"1990","Passenger vehicles","Hybrid electric",0
"1991","Passenger vehicles","Hybrid electric",0
"1992","Passenger vehicles","Hybrid electric",0
"1993","Passenger vehicles","Hybrid electric",3
"1994","Passenger vehicles","Hybrid electric",0
"1995","Passenger vehicles","Hybrid electric",0
"1996","Passenger vehicles","Hybrid electric",3
"1997","Passenger vehicles","Hybrid electric",0
"1998","Passenger vehicles","Hybrid electric",6
"1999","Passenger vehicles","Hybrid electric",11
"2000","Passenger vehicles","Hybrid electric",11
"2001","Passenger vehicles","Hybrid electric",48
"2002","Passenger vehicles","Hybrid electric",45
"2003","Passenger vehicles","Hybrid electric",125
"2004","Passenger vehicles","Hybrid electric",705
"2005","Passenger vehicles","Hybrid electric",964
"2006","Passenger vehicles","Hybrid electric",2477
"2007","Passenger vehicles","Hybrid electric",3613
"2008","Passenger vehicles","Hybrid electric",3916
"2009","Passenger vehicles","Hybrid electric",3677
"2010","Passenger vehicles","Hybrid electric",7512
"2011","Passenger vehicles","Hybrid electric",7348
"2012","Passenger vehicles","Hybrid electric",12035
"2013","Passenger vehicles","Hybrid electric",12478
"2014","Passenger vehicles","Hybrid electric",13954
"2015","Passenger vehicles","Hybrid electric",13555
"2016","Passenger vehicles","Hybrid electric",13320
"2017","Passenger vehicles","Hybrid electric",14370
"2018","Passenger vehicles","Hybrid electric",18280
"2019","Passenger vehicles","Hybrid electric",32014
"2020","Passenger vehicles","Hybrid electric",58584
"2021","Passenger vehicles","Hybrid electric",83226
"2022","Passenger vehicles","Hybrid electric",88678
"2023","Passenger vehicles","Hybrid electric",127840
"2024","Passenger vehicles","Hybrid electric",183550
"2025","Passenger vehicles","Hybrid electric",3
"Not stated","Passenger vehicles","Hybrid electric",0
"1901","Passenger vehicles","Battery/Fuel-cell electric",0
"1902","Passenger vehicles","Battery/Fuel-cell electric",0
"1903","Passenger vehicles","Battery/Fuel-cell electric",0
"1904","Passenger vehicles","Battery/Fuel-cell electric",0
"1905","Passenger vehicles","Battery/Fuel-cell electric",0
"1906","Passenger vehicles","Battery/Fuel-cell electric",0
"1907","Passenger vehicles","Battery/Fuel-cell electric",0
"1908","Passenger vehicles","Battery/Fuel-cell electric",0
"1909","Passenger vehicles","Battery/Fuel-cell electric",0
"1910","Passenger vehicles","Battery/Fuel-cell electric",0
"1911","Passenger vehicles","Battery/Fuel-cell electric",0
"1912","Passenger vehicles","Battery/Fuel-cell electric",0
"1913","Passenger vehicles","Battery/Fuel-cell electric",0
"1914","Passenger vehicles","Battery/Fuel-cell electric",0
"1915","Passenger vehicles","Battery/Fuel-cell electric",0
"1916","Passenger vehicles","Battery/Fuel-cell electric",0
"1917","Passenger vehicles","Battery/Fuel-cell electric",0
"1918","Passenger vehicles","Battery/Fuel-cell electric",0
"1919","Passenger vehicles","Battery/Fuel-cell electric",0
"1920","Passenger vehicles","Battery/Fuel-cell electric",0
"1921","Passenger vehicles","Battery/Fuel-cell electric",0
"1922","Passenger vehicles","Battery/Fuel-cell electric",0
"1923","Passenger vehicles","Battery/Fuel-cell electric",0
"1924","Passenger vehicles","Battery/Fuel-cell electric",0
"1925","Passenger vehicles","Battery/Fuel-cell electric",0
"1926","Passenger vehicles","Battery/Fuel-cell electric",0
"1927","Passenger vehicles","Battery/Fuel-cell electric",0
"1928","Passenger vehicles","Battery/Fuel-cell electric",0
"1929","Passenger vehicles","Battery/Fuel-cell electric",0
"1930","Passenger vehicles","Battery/Fuel-cell electric",0
"1931","Passenger vehicles","Battery/Fuel-cell electric",0
"1932","Passenger vehicles","Battery/Fuel-cell electric",0
"1933","Passenger vehicles","Battery/Fuel-cell electric",0
"1934","Passenger vehicles","Battery/Fuel-cell electric",0
"1935","Passenger vehicles","Battery/Fuel-cell electric",0
"1936","Passenger vehicles","Battery/Fuel-cell electric",0
"1937","Passenger vehicles","Battery/Fuel-cell electric",0
"1938","Passenger vehicles","Battery/Fuel-cell electric",0
"1939","Passenger vehicles","Battery/Fuel-cell electric",0
"1940","Passenger vehicles","Battery/Fuel-cell electric",0
"1941","Passenger vehicles","Battery/Fuel-cell electric",0
"1942","Passenger vehicles","Battery/Fuel-cell electric",0
"1943","Passenger vehicles","Battery/Fuel-cell electric",0
"1944","Passenger vehicles","Battery/Fuel-cell electric",0
"1945","Passenger vehicles","Battery/Fuel-cell electric",0
"1946","Passenger vehicles","Battery/Fuel-cell electric",0
"1947","Passenger vehicles","Battery/Fuel-cell electric",0
"1948","Passenger vehicles","Battery/Fuel-cell electric",0
"1949","Passenger vehicles","Battery/Fuel-cell electric",0
"1950","Passenger vehicles","Battery/Fuel-cell electric",0
"1951","Passenger vehicles","Battery/Fuel-cell electric",0
"1952","Passenger vehicles","Battery/Fuel-cell electric",0
"1953","Passenger vehicles","Battery/Fuel-cell electric",0
"1954","Passenger vehicles","Battery/Fuel-cell electric",0
"1955","Passenger vehicles","Battery/Fuel-cell electric",3
"1956","Passenger vehicles","Battery/Fuel-cell electric",3
"1957","Passenger vehicles","Battery/Fuel-cell electric",0
"1958","Passenger vehicles","Battery/Fuel-cell electric",3
"1959","Passenger vehicles","Battery/Fuel-cell electric",0
"1960","Passenger vehicles","Battery/Fuel-cell electric",3
"1961","Passenger vehicles","Battery/Fuel-cell electric",0
"1962","Passenger vehicles","Battery/Fuel-cell electric",0
"1963","Passenger vehicles","Battery/Fuel-cell electric",0
"1964","Passenger vehicles","Battery/Fuel-cell electric",0
"1965","Passenger vehicles","Battery/Fuel-cell electric",5
"1966","Passenger vehicles","Battery/Fuel-cell electric",3
"1967","Passenger vehicles","Battery/Fuel-cell electric",4
"1968","Passenger vehicles","Battery/Fuel-cell electric",3
"1969","Passenger vehicles","Battery/Fuel-cell electric",5
"1970","Passenger vehicles","Battery/Fuel-cell electric",6
"1971","Passenger vehicles","Battery/Fuel-cell electric",6
"1972","Passenger vehicles","Battery/Fuel-cell electric",3
"1973","Passenger vehicles","Battery/Fuel-cell electric",3
"1974","Passenger vehicles","Battery/Fuel-cell electric",3
"1975","Passenger vehicles","Battery/Fuel-cell electric",3
"1976","Passenger vehicles","Battery/Fuel-cell electric",3
"1977","Passenger vehicles","Battery/Fuel-cell electric",3
"1978","Passenger vehicles","Battery/Fuel-cell electric",3
"1979","Passenger vehicles","Battery/Fuel-cell electric",0
"1980","Passenger vehicles","Battery/Fuel-cell electric",0
"1981","Passenger vehicles","Battery/Fuel-cell electric",0
"1982","Passenger vehicles","Battery/Fuel-cell electric",0
"1983","Passenger vehicles","Battery/Fuel-cell electric",0
"1984","Passenger vehicles","Battery/Fuel-cell electric",0
"1985","Passenger vehicles","Battery/Fuel-cell electric",3
"1986","Passenger vehicles","Battery/Fuel-cell electric",0
"1987","Passenger vehicles","Battery/Fuel-cell electric",0
"1988","Passenger vehicles","Battery/Fuel-cell electric",3
"1989","Passenger vehicles","Battery/Fuel-cell electric",0
"1990","Passenger vehicles","Battery/Fuel-cell electric",7
"1991","Passenger vehicles","Battery/Fuel-cell electric",4
"1992","Passenger vehicles","Battery/Fuel-cell electric",0
"1993","Passenger vehicles","Battery/Fuel-cell electric",3
"1994","Passenger vehicles","Battery/Fuel-cell electric",3
"1995","Passenger vehicles","Battery/Fuel-cell electric",5
"1996","Passenger vehicles","Battery/Fuel-cell electric",3
"1997","Passenger vehicles","Battery/Fuel-cell electric",5
"1998","Passenger vehicles","Battery/Fuel-cell electric",0
"1999","Passenger vehicles","Battery/Fuel-cell electric",0
"2000","Passenger vehicles","Battery/Fuel-cell electric",3
"2001","Passenger vehicles","Battery/Fuel-cell electric",6
"2002","Passenger vehicles","Battery/Fuel-cell electric",0
"2003","Passenger vehicles","Battery/Fuel-cell electric",3
"2004","Passenger vehicles","Battery/Fuel-cell electric",0
"2005","Passenger vehicles","Battery/Fuel-cell electric",0
"2006","Passenger vehicles","Battery/Fuel-cell electric",17
